"rowname","ncit","oncotree"
"C9155","C9155","APLPMLRARA"
"C9157","C9157","ISTAD"
"C9159","C9159","DSTAD"
"C9160","C9160","AML"
"C9161","C9161","ANSC"
"C9163","C9163","AML"
"C9166","C9166","GBAD"
"C9167","C9167","GBC"
"C9168","C9168","SRCCR"
"C9182","C9182","DES"
"C9192","C9192","OCS"
"C9231","C9231","MCC"
"C9233","C9233","JMML"
"C9235","C9235","SM"
"C92552","C92552","ANGL"
"C92554","C92554","PGNT"
"C92555","C92555","EVN"
"C92624","C92624","PTPR"
"C9272","C9272","SACA"
"C9280","C9280","PMBL"
"C9281","C9281","FDCS"
"C9282","C9282","IDCS"
"C9283","C9283","LDCHL"
"C9284","C9284","SMAHN"
"C9285","C9285","ASM"
"C9286","C9286","ISM"
"C9287","C9287","AMLCBFBMYH11"
"C9288","C9288","AMLRUNX1RUNX1T1"
"C9290","C9290","MNM"
"C9294","C9294","DCS"
"C9296","C9296","GEJ"
"C9298","C9298","AUL"
"C9301","C9301","PCNSL"
"C9305","C9305","MT"
"C9309","C9309","SEM"
"C93125","C93125","RAS"
"C9313","C9313","NSGCT"
"C9325","C9325","ACC"
"C9344","C9344","PBL"
"C9348","C9348","MCSL"
"C9351","C9351","PLMESO"
"C9357","C9357","HL"
"C9360","C9360","BLL"
"C9380","C9380","AWM"
"C9381","C9381","AML"
"C9383","C9383","READ"
"C9385","C9385","RCC"
"C94524","C94524","PTCY"
"C94537","C94537","SCOAH"
"C9459","C9459","BTBOV"
"C9476","C9476","DIA"
"C94764","C94764","DIPG"
"C9477","C9477","AASTR"
"C9496","C9496","THRLBCL"
"C9497","C9497","MMBL"
"C9498","C9498","MELC"
"C9505","C9505","DNT"
"C95404","C95404","GINET"
"C95506","C95506","ITPN"
"C95595","C95595","PANET"
"C95612","C95612","EPDCA"
"C95749","C95749","EGCT"
"C95871","C95871","SWDNET"
"C96058","C96058","MEITL"
"C96156","C96156","HGNEC"
"C96159","C96159","RWDNET"
"C96422","C96422","AWDNET"
"C96804","C96804","PHCH"
"C96847","C96847","MRTL"
